Section,Page/Component,Details
Home,Landing Page,"Login / Sign Up, Intro, CTA"
Funders,Dashboard,"Summary Cards, Quick Actions, Notifications, Insights, Calendar"
Funders,RFP Builder & Manager,"Create/Edit RFPs, Clone Templates, Eligibility & Scoring"
Funders,Application Review,"Filter Applications, Assign Reviewers, Document Comparison"
Funders,Award Management,"Award Letters, Contracts, Payment Status"
Funders,Compliance Tracker,"Milestone Tracking, Submission Status, Revisions"
Funders,Emergency Response Engine,"Crisis Dashboard, Partner Suggestions, Fast Grants"
Organizations,Dashboard,"Opportunities Feed, My Applications, Compliance Alerts"
Organizations,RFP Discovery,"Search/Filter, Bookmark, Export"
Organizations,Application Portal,"Multi-step Forms, Upload Manager, Submission Validation"
Organizations,Compliance Center,"Upload Reports, Auto-Reminders, Messaging"
Organizations,Profile Manager,"Basic Info, Financials, Testimonials"
Emergency Responders,Dashboard,"Live Map, Filters, Suggested Partners"
Emergency Responders,Quick Deployment,"Templates, Contracts, Compliance"
Admin,Dashboard,"User Management, Logs, System Metrics"
Admin,Content Manager,"Help, FAQs, Announcements"
